strain,name,accession,date,region,location,authors,sample_type,reads_or_assemblies
BAL3,Nichols,SRR3268715,1973-XX-XX,N.America,usa,Arora_2016,rabbit inoculation,reads
BAL73,Nichols,SRR3268726,1973-XX-XX,N.America,usa,Arora_2016,rabbit inoculation,reads
NE20,Nichols,SRR3268710,2013-XX-XX,Europe,netherlands,Arora_2016,clinical acquired,reads
Chicago_tube2,Nichols,ERR2756161,1951-XX-XX,N.America,usa,Beale_2019_Global_TPA,Nichols_rabbit_passage,reads
Nichols_Houston_E,Nichols,ERR2756162,1912-XX-XX,N.America,usa,Beale_2019_Global_TPA,Nichols_rabbit_passage,reads
Nichols_Houston_J,Nichols,ERR2756160,1912-XX-XX,N.America,usa,Beale_2019_Global_TPA,Nichols_rabbit_passage,reads
Nichols_Houston_O,Nichols,ERR2756163,1912-XX-XX,N.America,usa,Beale_2019_Global_TPA,Nichols_rabbit_passage,reads
NL14,Nichols,ERR2710615,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
NL17,Nichols,ERR2710618,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
NL19,Nichols,ERR2710619,2016-XX-XX,Europe,uk,Beale_2019_Global_TPA,Clinical_Swab,reads
Seattle_81-4,Nichols,ERR2756164,1980-XX-XX,N.America,usa,Beale_2019_Global_TPA,rabbit inoculation,reads
UW189B,Nichols,ERR2756187,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW279B,Nichols,ERR2756197,2004-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
DAL-1,Nichols,NC_016844.1,--XX-XX,N.America,usa,Čejková_2012,rabbit inoculation,assemblies
SMUTp_07,Nichols,SRR10041769,2018-XX-XX,Asia,china,Chen_2020,Clinical_Swab,reads
CW59,Nichols,SRR8501165,2012-XX-XX,Europe,france,Grillová_2019,clinical acquired,reads
CW65,Nichols,SRR8501164,2014-XX-XX,Oceania,australia,Grillová_2019,clinical acquired,reads
