strain,name,accession,date,region,location,authors,sample_type,reads_or_assemblies
AU15,SS14,SRR3268722,2013-XX-XX,Europe,austria,Arora_2016,clinical_acquired,reads
AU16,SS14,SRR3268723,2013-XX-XX,Europe,austria,Arora_2016,clinical_acquired,reads
B3,SS14,SRR2996728,2015-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
C3,SS14,SRR2996729,2015-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
CZ27,SS14,SRR3268685,2012-XX-XX,Europe,czech_republic,Arora_2016,clinical_congenital,reads
K3,SS14,SRR2996730,2015-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
NE15,SS14,SRR3268705,2013-XX-XX,Europe,netherlands,Arora_2016,clinical_acquired,reads
NE17,SS14,SRR3268707,2013-XX-XX,Europe,netherlands,Arora_2016,clinical_acquired,reads
NE19,SS14,SRR3268709,2013-XX-XX,Europe,netherlands,Arora_2016,clinical_acquired,reads
PT_SIF0697,SS14,SRR3571774,2009-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF0751,SS14,SRR3584962,2009-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF0857,SS14,SRR3584965,2010-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF0877_3,SS14,SRR3571775,2010-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF0908,SS14,SRR3571776,2010-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF0954,SS14,SRR3571778,2010-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1002,SS14,SRR3571783,2011-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1020,SS14,SRR3571785,2011-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1063,SS14,SRR3571786,2012-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1135,SS14,SRR3584837,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1140,SS14,SRR3584838,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1142,SS14,SRR3584839,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1156,SS14,SRR3584840,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1167,SS14,SRR3584841,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1183,SS14,SRR3584842,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1196,SS14,SRR3584843,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1200,SS14,SRR3584844,2013-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1242,SS14,SRR3584845,2014-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1252,SS14,SRR3584871,2014-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1261,SS14,SRR3584875,2014-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1278,SS14,SRR3584879,2014-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1280,SS14,SRR3584882,2014-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
PT_SIF1299,SS14,SRR3584884,2014-XX-XX,Europe,portugal,Pinto_2016,clinical_acquired,reads
Q3,SS14,SRR2996732,2015-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
SHC-0,SS14,SRR2996724,2014-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
SHD-R,SS14,SRR2996725,2014-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
SHE-V,SS14,SRR2996726,2014-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
SHG-I2,SS14,SRR2996727,2014-XX-XX,Asia,china,Sun_2016,low_rabbit_passage,reads
SW6,SS14,SRR3268732,2012-XX-XX,Europe,switzerland,Arora_2016,clinical_acquired,reads
SW8,SS14,SRR3268736,2012-XX-XX,Europe,switzerland,Arora_2016,clinical_acquired,reads
UW074B,SS14,ERS1884608,2004-XX-XX,NAmerica,usa,Beale_2019,low_rabbit_passage,reads
UW093B,SS14,ERS1884633,2001-XX-XX,NAmerica,usa,Beale_2019,low_rabbit_passage,reads
UW099B,SS14,ERS1884579,2001-XX-XX,NAmerica,usa,Beale_2019,low_rabbit_passage,reads
